exchange,crypto,fiat,market_type,time,candle_usd_volume
binance,usdt,ars,spot,2023-04,126129.43402749699
binance,usdt,ars,spot,2023-05,3217470.6296800873
binance,usdt,ars,spot,2023-06,6311905.493863895
binance,usdt,ars,spot,2023-07,9106520.657626903
binance,usdt,ars,spot,2023-08,11085034.201154947
binance,usdt,ars,spot,2023-09,7754741.098498333
binance,usdt,ars,spot,2023-10,13384244.533524342
binance,usdt,ars,spot,2023-11,15909209.847789228
binance,usdt,ars,spot,2023-12,21089875.30132661
binance,usdt,ars,spot,2024-01,19845871.239584044
binance,usdt,ars,spot,2024-02,32412057.713234063
binance,usdt,ars,spot,2024-03,68725637.83634166
binance,usdt,ars,spot,2024-04,41727851.858979434
binance,usdt,brl,spot,2020-10,2419719.462529092
binance,usdt,brl,spot,2020-11,11101812.857559172
binance,usdt,brl,spot,2020-12,20155080.113506734
binance,usdt,brl,spot,2021-01,60943919.18307456
binance,usdt,brl,spot,2021-02,130237468.62251987
binance,usdt,brl,spot,2021-03,271269189.6276424
binance,usdt,brl,spot,2021-04,409762136.3384663
binance,usdt,brl,spot,2021-05,659640785.9487809
binance,usdt,brl,spot,2021-06,359642154.6248547
binance,usdt,brl,spot,2021-07,366677878.9192554
binance,usdt,brl,spot,2021-08,588395637.0839435
binance,usdt,brl,spot,2021-09,636701938.4603257
binance,usdt,brl,spot,2021-10,969655102.7306837
binance,usdt,brl,spot,2021-11,988624077.3202857
binance,usdt,brl,spot,2021-12,745828531.7529422
binance,usdt,brl,spot,2022-01,560329631.3950205
binance,usdt,brl,spot,2022-02,473841621.5485288
binance,usdt,brl,spot,2022-03,616297308.4280608
binance,usdt,brl,spot,2022-04,699280433.365812
binance,usdt,brl,spot,2022-05,638837760.8106713
binance,usdt,brl,spot,2022-06,461761117.2942265
binance,usdt,brl,spot,2022-07,305327634.716845
binance,usdt,brl,spot,2022-08,386490037.605612
binance,usdt,brl,spot,2022-09,303640359.41754925
binance,usdt,brl,spot,2022-10,255147235.07979086
binance,usdt,brl,spot,2022-11,391189795.29339504
binance,usdt,brl,spot,2022-12,241599949.86494213
binance,usdt,brl,spot,2023-01,251593540.62428233
binance,usdt,brl,spot,2023-02,264428465.77372164
binance,usdt,brl,spot,2023-03,342980780.6124225
binance,usdt,brl,spot,2023-04,240595628.83687502
binance,usdt,brl,spot,2023-05,228728984.93821442
binance,usdt,brl,spot,2023-06,231410576.58971643
binance,usdt,brl,spot,2023-07,235621770.35201687
binance,usdt,brl,spot,2023-08,239564626.01496604
binance,usdt,brl,spot,2023-09,212031458.55571342
binance,usdt,brl,spot,2023-10,235975148.83464828
binance,usdt,brl,spot,2023-11,271570345.0622209
binance,usdt,brl,spot,2023-12,373322719.5455125
binance,usdt,brl,spot,2024-01,422684529.1323851
binance,usdt,brl,spot,2024-02,416372250.54198176
binance,usdt,brl,spot,2024-03,763588552.3340056
binance,usdt,brl,spot,2024-04,452127940.1182467
